book_id,category,category_id
7450,Medical,81
7451,Health & Fitness,75
7452,Religion,25
7453,Religion,25
7454,History,1
7455,History,1
7456,Literary Criticism,115
7457,Psychology,26
7458,History,1
7459,Sports & Recreation,71
7460,Religion,25
7461,Psychology,26
7462,Medical,81
7463,Medical,81
7464,History,1
7465,Fiction,5
7466,Performing Arts,139
7467,Language Arts & Disciplines,61
7468,Juvenile Nonfiction,16
7469,Gardening,89
7470,Nature,66
7471,Education,43
7472,Law,138
7473,Political Science,7
7474,Computers,35
7475,Business & Economics,21
7476,Medical,81
7477,Social Science,94
7478,Performing Arts,139
7479,Literary Criticism,115
7480,Foreign Language Study,102
7481,Juvenile Fiction,9
7482,Games,84
7483,Performing Arts,139
7484,History,1
7485,Dolls,452
7486,Performing Arts,139
7487,Juvenile Fiction,9
7488,Political Science,7
7489,Cooking,44
7490,History,1
7491,Sports & Recreation,71
7492,Juvenile Nonfiction,16
7493,Fiction,5
7494,Poetry,18
7495,Reference,56
7496,Nature,66
7497,Juvenile Fiction,9
7498,Fiction,5
7499,Juvenile Nonfiction,16
7500,Science,4
7501,Art,53
7502,Language Arts & Disciplines,61
7503,Health & Fitness,75
7504,Medical,81
7505,Religion,25
7506,Religion,25
7507,Political Science,7
7508,"Body, Mind & Spirit",24
7509,History,1
7510,Health & Fitness,75
7511,Literary Criticism,115
7512,Religion,25
7513,Sports & Recreation,71
7514,Performing Arts,139
7515,Medical,81
7516,Technology & Engineering,109
7517,Literary Criticism,115
7518,Health & Fitness,75
7519,Social Science,94
7520,Juvenile Fiction,9
7521,Political Science,7
7522,Juvenile Nonfiction,16
7523,Philosophy,67
7524,Fiction,5
7525,Fiction,5
7526,Self-Help,107
7527,Nature,66
7528,History,1
7529,Social Science,94
7530,Philosophy,67
7531,Fiction,5
7532,Fiction,5
7533,Juvenile Fiction,9
7534,Political Science,7
7535,Sports & Recreation,71
7536,Foreign Language Study,102
7537,Canada,330
7538,History,1
7539,History,1
7540,Literary Criticism,115
7541,Language Arts & Disciplines,61
7542,Political Science,7
7543,Angola,453
7544,Courtship,454
7545,Business & Economics,21
7546,Religion,25
7547,Computers,35
7548,Nature,66
7549,Music,57
7550,Philosophy,67
7551,Literary Criticism,115
7552,Fiction,5
7553,History,1
7554,Religion,25
7555,Fiction,5
7556,Fiction,5
7557,History,1
7558,Biography & Autobiography,2
7559,Religion,25
7560,Humor,64
7561,Health & Fitness,75
7562,History,1
7563,Business & Economics,21
7564,Fiction,5
7565,Reference,56
7566,Family & Relationships,65
7567,Juvenile Nonfiction,16
7568,Religion,25
7569,Performing Arts,139
7570,Education,43
7571,True Crime,134
7572,Family & Relationships,65
7573,History,1
7574,Comics & Graphic Novels,12
7575,Fantasy in art,455
7576,House & Home,110
7577,Business & Economics,21
7578,Juvenile Fiction,9
7579,Medical,81
7580,Performing Arts,139
7581,Performing Arts,139
7582,Children's stories,37
7583,Social Science,94
7584,Art,53
7585,Music,57
7586,Performing Arts,139
7587,Medical,81
7588,Language Arts & Disciplines,61
7589,Health & Fitness,75
7590,Music,57
7591,Fiction,5
7592,Juvenile Fiction,9
7593,Fiction,5
7594,Religion,25
7595,Psychology,26
7596,Philosophy,67
7597,Medical,81
7598,Fiction,5
7599,Drama,129
7600,Juvenile Fiction,9
7601,Humor,64
7602,Science,4
7603,History,1
7604,Religion,25
7605,Fiction,5
7606,Biography & Autobiography,2
7607,Literary Criticism,115
7608,Juvenile Fiction,9
7609,Performing Arts,139
7610,Fiction,5
7611,Fiction,5
7612,Fiction,5
7613,Fiction,5
7614,Biography & Autobiography,2
7615,Family & Relationships,65
7616,Reference,56
7617,History,1
7618,Social Science,94
7619,Medical,81
7620,Medical,81
7621,History,1
7622,Juvenile Fiction,9
7623,Juvenile Fiction,9
7624,Science,4
7625,Juvenile Fiction,9
7626,Juvenile Fiction,9
7627,Human-computer interaction,456
7628,Fiction,5
7629,Juvenile Fiction,9
7630,Juvenile Fiction,9
7631,History,1
7632,Juvenile Fiction,9
7633,Social Science,94
7634,Religion,25
7635,American fiction,457
7636,Fiction,5
7637,Art,53
7638,Juvenile Fiction,9
7639,Juvenile Fiction,9
7640,Juvenile Fiction,9
7641,Juvenile Fiction,9
7642,Fiction,5
7643,Religion,25
7644,Fiction,5
7645,Biography & Autobiography,2
7646,Biography & Autobiography,2
7647,Fiction,5
7648,Poetry,18
7649,Fiction,5
7650,Juvenile Nonfiction,16
7651,Science,4
7652,Country life,439
7653,Poetry,18
7654,Fiction,5
