publisher_id,name
412,Ballantine Group
413,Ballantine Reader's Circle
414,"Baltimore, Md. : Genealogical Publishing Company"
415,Bamboo Books Incorporated
416,Banner of Truth
417,Bantam
418,Bantam Books
419,Bantam Classics
420,Bantam Dell Publishing Group
421,Bantam Doubleday Dell Publishing Group Incorporated
422,Bantam Press
423,Barbara Cartland Ebooks Ltd
424,Barbour Pub Incorporated
425,Barbour Publishing
426,Barclay Books (FL)
427,Barefoot Books
428,Barefoot Ministries
429,Barnes & Noble
430,Barnes & Noble Incorporated
431,Barnes & Noble Publishing
432,Barricade Books Incorporated
433,Barron's Educational Series
434,"Barron's Educational Series, Incorporated"
435,Barrons Educational Series
436,Barrons Educational Series Incorporated
437,Barrons Juveniles
438,Barry Hughes
439,Barrytown/ Station Hill Press
440,Basic Books
441,Basic Books (AZ)
442,Batsford
443,Bay Books (CA)
444,Bayeux Arts Incorporated
445,Bbc Books
446,Bbc Publications
447,Bbs Publishing Corporation
448,Be Series Commentary
449,Beacon Hill Press
450,Beacon Press
451,Beacon Press (MA)
452,Bear
453,Bedford/St. Martin's
454,Bedford/st Martins
455,Beeler Large Print Books
456,Beginner's Bible
457,Behrman House Publishing
458,"Behrman House, Inc"
459,Beignet Books
460,Belgariad
461,Belgrave House
462,Belknap Press
463,Bell
464,Bell Bridge Books
465,Bella Books
466,BelleBooks
467,"Bellingham, WA ; North Vancouver, B.C. : Self-Counsel Press"
468,Ben F Small
469,BenBella Books
470,"BenBella Books, Inc."
471,Benediction Classics
472,Benjamin-Cummings Publishing Company
473,Bennett Street Books
474,Bent Crow Press
475,Bentley Pub
476,Berg
477,Berghahn Books
478,Berklee Press
479,Berklee PressPublications
480,Berkley
481,Berkley Books
482,Berkley Hardcover
483,Berkley Publishing Group
484,Berkley Trade
485,Bernstein Books
486,Berrett-Koehler
487,Berrett-Koehler Pub
488,Berrett-Koehler Publishers
489,Bess Press
490,Best Day Books For Young Readers
491,Bethany House
492,Bethany House Pub
493,Bethany House Publishers
494,Bethlehem Books
495,Better Homes & Gardens Books
496,Betterway Books
497,Betty Crocker
498,Beyond Words Publishing
499,Beyond Words Publishing Company
500,Beyond Words/Atria Books
501,"Bezige Bij b.v., Uitgeverij De"
502,Bible Study Steps
503,Bible Temple Publications
504,Biblioasis
505,Bibliotech Press
506,"Big Dog Books, LLC"
507,Big Earth Publishing
508,Big Mouth House
509,Bilingual Books (WA)
510,Bilingual Books Incorporated
511,Bilingual Press
512,Bill Gates 🧠 & GRH! 22.739.860/0001-84
513,Billboard Books
514,Binker North
515,Binkey Kok
516,Birch Lane Press
517,Bird Identification Guides
518,Birlinn
519,Birlinn Limited
520,Birlinn Ltd
521,Bison Books
522,Bitingduck Press LLC
523,Bitter Creek Novels (Paperback
524,Bitter Lemon Press
525,Bivens & Jensen Publishing
526,Black & White Publishing
527,Black Amber
528,Black Belt Communications
529,Black Belt Communications Incorporated
530,Black Candy
531,Black Cat
532,Black Classic Press
533,Black Dagger Crime
534,Black Death Books
535,Black Dog & Leventhal
536,Black Dog & Leventhal Pub
537,Black Library
538,Black Pearl Books
539,Black Ridge Wolf Pack
540,Black Swan
541,Black Swan/Carousel/Corgi
542,Blackbird Publishing
543,Blackstone Publishing
544,Blackwell Publishing
545,Bladud Books
546,Blair
547,Blake Pierce
548,Blandford
549,Blizzard Pub Limited
550,"Blood Moon Productions, Ltd."
551,Bloomberg Press
552,Bloomsbury Academic
553,Bloomsbury Continuum
554,Bloomsbury Methuen Drama
555,Bloomsbury Paperbacks
556,Bloomsbury Press
557,Bloomsbury Pub Limited
558,Bloomsbury Pub Plc USA
559,Bloomsbury Publishing
560,Bloomsbury Publishing USA
561,Bloomsbury Reader
562,Bloomsbury T&T Clark
563,Bloomsbury UK
564,Bloomsbury USA
565,Blue Dolphin Pub
566,Blue Dolphin Publishing
567,Blue Hound Visions
568,Blue Moon Books
569,"Blue Mountain Arts, Inc."
570,"Blue Poppy Enterprises, Inc."
571,Blue Ribbon Books
572,Blue Rose Publishers
573,Blue Sky Press
574,Blue Snake Books
575,Blue Sparrow
576,Blue Table Books
577,Blueheart Press
578,Bluehen Trade
579,Blurb
580,Bmh Books
581,Bna Books
582,Bnpublishing.Com
583,BoD – Books on Demand
584,Boa Editions
585,Board & Bench Pub
586,Board and Bench Publishing
587,Bob Sorge
588,Bobbs-Merrill Company
589,Bobcat Books
590,Bodley Head Childrens
591,Boekerij
592,Boffo Books
593,Bolchazy-Carducci Publishers
594,Bold Strokes Books Inc
595,Bold Type Books
596,Boldwood Books Ltd
597,BompaCrazy.com
598,Bond Street Books
599,Bonnier Publishing Fiction Ltd.
600,Bonnier Zaffre Ltd.
601,"Bons Mots, Inc."
602,"Bonus Books, Inc."
603,Book Factory
604,Book Peddlers
605,Book Publishing Company
606,Book Publishing Company (TN)
607,"Book Renter, Incorporated"
608,Book Sales
609,Book Shaker
610,Book Surge
611,Book Tree
612,Book View Cafe
613,BookBlast ePublishing
614,"BookPros, LLC"
615,BookRix
616,BookShots
617,BookSurge LLC
618,Bookcraft Pubs
619,Bookhaven Press LLC
620,Booklocker.Com Incorporated
621,Bookouture
622,Bookpartners
623,Bookpeople
624,Books
625,Booksales
626,Booksmango
627,Booksurge Llc
628,Booktango
629,Boom Koninklijke Uitgevers
630,Borealis Book
631,Borealis Books
632,Boston : Atlantic monthly Press
633,Boston : Houghton Mifflin
634,Bottom of the Hill Publishing
635,"Boulder, Colo. : Roberts Rinehart"
636,Boulevard
637,Boxer Books Limited
638,Boxtree
639,Boxwood Manor Books
640,Boydell & Brewer
641,Boydell & Brewer Ltd
642,Boydell Press
643,Boyds Mills Press
644,Boynton/Cook
645,Boynton/Cook Pub
646,Boys Town Press
647,Bpi Communications
648,Bradford Books
649,Bradt Travel Guides
650,Brady
651,BradyGames
652,Braided River
653,"Brainstorm Publications, Inc."
654,Brainysoftware.Com
655,Brand New World Publishing
656,Branden Books
657,Brandon Books
658,Brassey's
659,Braun Pub Ag
660,Brazos Press
661,Breadpig Incorporated
662,Breakaway Books
663,Breathing Space Institute
664,Brenda Hiatt
665,Brewers Publications
666,Brian Cramer Books
667,Brian H Jones
668,Bridge Logos Foundation
669,Bridge Logos Inc
670,"Bridge Publications, Incorporated"
671,Bridge Works Publishing Company
672,Bridger House Publishers
673,Brigham Distributing
674,British Film Inst
675,British Film Institute
676,British Library Guides
677,British Museum Publications Limited
678,BroadStreet Publishing Group LLC
679,Broadview Press
680,Broadway
681,Broadway Books
682,Broadway Business
683,Brookings Institution Press
684,Brooklands Books Limited
685,Brooklyn Botanic Garden
686,Brooks/Cole Publishing Company
687,Brown Street Books
688,Bruce Klein
689,Bruno Gmuender GMBH
690,Bruno Gmuender Gmbh
691,Bruno Gmunder Verlag
692,Brush Education
693,Bryn Mawr Commentaries
694,Brynmorgen Press
695,Buccaneer Books
696,Bucknell University Press
697,Buddha's Light Publishing
698,"Buffalo, N.Y. : Prometheus Books"
699,Bulfinch Press
700,Bull Publishing Company
701,Burns & Oates
702,Business Contact
703,Business Plus
704,Butterworth-Heinemann
705,Bywater Books
706,C & R Crime
707,C & T Pub
708,C W L A Press
709,C&T Publishing Inc
710,C. HURST & CO. PUBLISHERS
711,CABI
712,CAEZIK SF & Fantasy
713,CCEL
714,CLC Ministries
715,CLC Publications
716,"CNIB, 197"
717,"CNIB, [197-]"
718,COSMOS
719,CP Publishing
720,CQ Press
721,CRC Press
722,CSHL Press
723,CUA Press
724,CUP Archive
725,Caedmon
726,Calder Publications Limited
727,Calgary : Dragon Moon Press
728,Calgary : Red Deer Press
729,California Bill's Automotive
730,Calkins Creek Books
731,Callisto Media Inc
732,Cambridge Scholars Publishing
733,Cambridge University Press
734,"Cambridge, Mass. : Harvard University Press"
735,"Camden East, Ont. : Camden House"
736,"Camden East, Ont. : Camden House Pub."
737,Camden House
738,CanWest Books
739,Candle Books
740,Candlewick Press
741,Candlewick Press (MA)
742,Canelo
743,Canon Press & Book Service
744,Canon Press &amp; Book Service
745,Canongate Books
746,Canongate Books Limited
747,Canongate Press Limited
748,Canterbury Classics
749,Canterbury Press
750,Canticos Bilingual Nursery Rhy
751,Capital Books
752,Capital Crimes
753,Capps Publishing
754,Capstone
755,Capstone Classroom
756,Capstone Editions
757,Captain Fiddle Publications
758,Captain Underpants
759,CarTech Inc
760,Carcanet Press
761,Cardoza
762,Cardoza Publishing
763,Care Publications
764,Career Education
765,Career Press
766,Career PressInc
767,Carlton Books Limited
768,Carlton Publishing Group
769,Carol Denbow
770,Carol Oliver
771,Carolrhoda Books
772,Carolrhoda Books ®
773,"Carpe Per Diem, Inc."
774,Carpenters Son Pub
775,Carroll & Graf
776,Carroll & Graf Pub
777,Carroll & Graf Publishers
778,Carson-Dellosa Publishing
779,Cartech
780,Cartech Incorporated
781,Cartwheel Books
782,Casemate
783,Casemate Publishers
784,Casino Vacations Press
785,Cassell
786,Cassell PLC
787,Castle
788,Castrovilli Giuseppe
789,"Catalyst Athletics, LLC"
790,Catapult
791,Catedra Ediciones
792,Catholic Book Publishing Company
793,Catholic Book Publishing Corporation
794,Catholic University of America Press + ORM
795,Cato Institute
796,Cats Whiskers
797,"Cavendish Square Publishing, LLC"
798,Caxton Editions
799,Caxton Press
800,Cedar Fort
801,Celadon Books
802,Celestial Arts
803,Celestial Press
804,Cemetery Dance Publications
805,Cengage Learning
806,Center Point Pub
807,Center Street
808,"Center for Responsive Schools, Inc."
809,Central European University Press
810,Centretruths Digital Media
811,Cfa Inst
812,Chalice Press
813,Chamberlain Brothers
814,Chambers Harrap Publishers L
815,Champion PressLtd
816,Chances Inc.
817,Chapel Hill : University of North Carolina Press
818,Chapel Library
819,Chariot Family Pub
820,Chariot Victor Pub
821,Chariot Victor Publishing
822,Charisma House
823,Charisma Media
824,Charles Capps Ministrie
825,Charles River Media
826,Charlesbridge
827,Charlesbridge Publishing
828,Charmaine Pauls
829,Charnwood
830,Chartwell
831,Chartwell Books
832,Chatto & Windus
833,Checker Book Publishing Group Llc
834,Chelsea Green Publishing
835,Chelsea Green Publishing Company
836,Chelsea House
837,Chelsea House Pub
838,"Cheney, Wash. : Eastern Washington University Press"
839,Chicago
840,Chicago : Swallow Press
