author,author_id
Anne Rice,434
Jane Kirkpatrick,435
Susanna Kearsley,436
Ruth Bell Graham,437
John Grisham,438
Charles C. Mann,439
Winston Groom,440
Andrea R. Cremer,441
Andrea Robertson,442
Alexandra Monir,443
Tess Gerritsen,444
Andrew Solomon,445
J. D. Robb,446
Mary Logue,447
Dean Ray Koontz,448
Claire Tomalin,449
Kristin Hannah,450
Michael S. Hyatt,451
Barbara Park,452
Gary Paulsen,453
James D. Hornfischer,454
Billy Graham,455
Michael M. Lewis,456
Patricia Daniels Cornwell,457
Les Carter,458
Frank B. Minirth,459
David Graeber,460
John Barylick,461
Lauren Child,462
Douglas S. Huffman,463
Trisha Speed Shaskan,464
Fredrik Logevall,465
Steve Turner,466
Greg E. Foley,467
Elisabeth Robson,468
Eric Freeman,469
E. J. Copperman,470
Jonathan Kozol,471
Laura Resau,472
María Virginia Farinango,473
"William E. Shotts, Jr.",474
Studs Terkel,475
Donald R Hickey,476
Compton Mackenzie,477
Ashley Spires,478
Adam Johnson,479
Charles Burns,480
Mary Hopkins-Best,481
Robert Silverberg,482
Paul Clemens,483
Kristy Chambers,484
John Dewey,485
Melvin L. Rogers,486
Lawrence Boadt,487
Richard J. Clifford,488
Daniel J. Harrington,489
Mia Downing,490
Wendell Berry,491
Consuelo Vanderbilt Balsan,492
Valerie Frankel,493
T. Scott Daniels,494
Earl Lee,495
John Burdett,496
Steve Chandler,497
Ellen Edwards Kennedy,498
Toni Hamill,499
Emanuel Tov,500
Mick J. Sanders,501
Lawrence M. Lewis,502
Gary Quick,503
Scott Weidensaul,504
Mike Svob,505
Gil Scott-Heron,506
Francis Frangipane,507
David F. Noble,508
Darren Ashby,509
Philip Kotler,510
Kevin Lane Keller,511
Stephen McCranie,512
Jeanette Krinsley,513
Lee J. Ames,514
Terence Conran,515
Ray C. Stedman,516
Richard Kluger,517
Loretta Lynn,518
Thomas P. Lowry,519
"Thomas P. Lowry, M. D.",520
Garry L. Landreth,521
Jeanette Baker,522
Paul S. Kemp,523
Robert C. Higgins,524
Kate McMullan,525
John Sazaklis,526
Maureen Jennings,527
J. Spencer Fluhman,528
Kevin Gerald,529
Simon R. Cherry,530
James A. Sorenson,531
Michael E. Phelps,532
Diane Brady,533
Jeffery Moussaieff Masson,534
"Hinkler Books Pty, Limited",535
Elmer Luke,536
David James Karashima,537
Myrtle Langley,538
Victoria Belanger,539
Hermann Hesse,540
Robert Block,541
Demi,542
Pat Huddleston,543
Fran Manushkin,544
Tamara Thiessen,545
John Reger,546
James Hitchcock,547
Franz Werfel,548
Jay Bonansinga,549
Leonard J. Arrington,550
Greg Farshtey,551
Molly Hyde English,552
Tom Lamb,553
Philippa Mein Smith,554
Mark Anthony Wilson,555
Larousse (Firm),556
Luis Minero,557
John Pollock,558
Jessica Fletcher,559
Donald Bain,560
Arnold Robert Alanen,561
Marion E. Reid,562
Christine Lomas-Francis,563
Martin L. Olsson,564
Pablo Hidalgo,565
Barbara Klein,566
Richard Alan Long,567
Kenneth Ray Blackman,568
Susan Wilson Solovic,569
Ellen R. Kadin,570
Stephen E. Fowl,571
Norman E. Rosenthal,572
Willard Price,573
Irving Abella,574
Harold Martin Troper,575
Michael Moynagh,576
Barbara London,577
Jim Stone,578
Deborah Stone,579
Christopher McDougall,580
Tim F. LaHaye,581
Jerry B. Jenkins,582
Charlaine Harris,583
Rachel Simmons,584
C. H. Spurgeon,585
Candice Millard,586
George W. Bush,587
Russell Freedman,588
Linda Sue Park,589
Elizabeth von Arnim,590
Kate Grenville,591
T. Coraghessan Boyle,592
Stephen King,593
Jo Nesbo,594
Kate Ascher,595
Eoin Colfer,596
Stephen Arterburn,597
Frederick Forsyth,598
Philip Pullman,599
Jaimy Gordon,600
Roy Hession,601
Bernard Cornwell,602
Robin Jones Gunn,603
Robert B. Parker,604
Henry Blackaby,605
Henry T. Blackaby,606
Richard Blackaby,607
Ayn Rand,608
Carolyn Larsen,609
Caprice Crane,610
John J. Collins,611
Simone de Beauvoir,612
Lee Smith,613
John Milton Cooper,614
Jim Starlin,615
Marv Wolfman,616
George Pérez,617
Anne Perry,618
Sharon Paice MacLeod,619
James P. Stobaugh,620
L. Daniel Howell,621
Allison Kingsley,622
Paul McEuen,623
Tim Lahaye,624
Arleta Richardson,625
Mark Pett,626
Gary Rubinstein,627
Michael S. Bandy,628
Eric Stein,629
Shadra Strickland,630
Tim LaHaye,631
Carla Kelly,632
Ellen Raskin,633
Sanami Matō,634
Sarah Graves,635
Wendy M. Vincent,636
Claire B. Shaeffer,637
Glendon Swarthout,638
Norman Bridwell,639
Janette Sebring Lowrey,640
Marshall McLuhan,641
W. Terrence Gordon,642
Elena Lamberti,643
Dominique Scheffel-Dunand,644
Patricia Highsmith,645
Tameichi Hara,646
Fred Saito,647
Roger Pineau,648
Joani Blank,649
Catherine D. Hughes,650
Ernest Matthew Mickler,651
Lisa Guerin,652
Robin Mather,653
Carol Field,654
Jeffrey Small,655
Betty Bard MacDonald,656
Jean Plaidy,657
Max Pierce,658
Julie Lawson,659
Lynette Long,660
Hank Morehouse,661
Amy Ogle,662
Lisa Mazzullo,663
David S. Dockery,664
Shawn Dorman,665
Nigel Jones,666
Nancy Guthrie,667
S. K. Bhattacharya,668
Katia Lief,669
David D. Busch,670
David Ogilvy,671
Sir Alan Parker,672
Katie McKy,673
Ann M. Martin,674
Gail Bowen,675
Claudia Carroll,676
T. Harry Williams,677
Judd Winick,678
Doug Mahnke,679
Tom Nguyen,680
Alex Sinclair,681
Pat Brosseau,682
Susan Ware,683
Guozhong Cao,684
Ying Wang,685
Martha Stewart,686
Martha Stewart Living Magazine,687
Vance Packard,688
Bill McKibben,689
Joan Lowery Nixon,690
Christina Stead,691
Lori Hope,692
Ronald Grigor Suny,693
Sophie Webb,694
Gertrude Von Le Fort,695
Michael T. Goodrich,696
Roberto Tamassia,697
Harvey Russell Bernard,698
Otto Penzler,699
Edgar Box,700
Jayne Ann Krentz,701
National Geographic Society (U.S.),702
National Geographic,703
Robin McKenzie,704
"John J. Feeley, Jr.",705
Rosie Dempsey,706
Ptolemy Tompkins,707
E. M. W. Tillyard,708
Vincent T. DeVita,709
"Vincent T. DeVita, Jr. M.D.",710
Theodore S. Lawrence,711
Steven A. Rosenberg,712
Rochelle C. Dreyfuss,713
Katherine J. Strandburg,714
Catherine Marshall,715
Gretchen B. Rossman,716
Luanne Rice,717
Paul Laurence Dunbar,718
William L. Andrews,719
Brillat-Savarin,720
Gary John Previts,721
Peter Wolnizer,722
Brian P. Levack,723
Edward Muir,724
Meredith Veldman,725
Dr. Seuss,726
Vilém Flusser,727
Paul Dowswell,728
Sara Hoagland Hunter,729
Julia Miner,730
Rachel Sussman,731
Vimala McClure,732
Fred Herzog,733
Claudia Gochmann,734
Douglas Coupland,735
Sarah Milroy,736
Jeff Wall,737
Boris Leonidovich Pasternak,738
Peter G. Tsouras,739
Jennifer Lee,740
Evelyn Waugh,741
John Carmel Heenan,742
Laurie Bogart Morrow,743
Catherine Lundoff,744
Hans-Otto Georgii,745
James William Nilsson,746
Susan A. Riedel,747
Martin Luther,748
Pam Farrel,749
Robert Henry Thouless,750
C. R. Thouless,751
Roger L. Greene,752
Adele Berlin,753
Jim Shooter,754
Roger Robinson,755
Dennis Calero; Michael Komarck; Dennis Calero; Wes Dzioba,756
Nan Fink Gefen,757
Una Cunningham,758
Victor Witter Turner,759
Edith L. B. Turner,760
Paul D. Miller,761
Elizabeth M. Leach Rixford,762
John B. Babcock,763
Harvard Business Review,764
Muriel Spark,765
Elise Ballard,766
Bill Simmons,767
Ingrid Law,768
Cormac McCarthy,769
Ginger Knowlton,770
Anna Quindlen,771
Susan Meissner,772
Nevil Shute,773
Jacqueline Woodson,774
Laura Ingalls Wilder,775
Frederik Pohl,776
Kathy Griffin,777
Mariko Tamaki,778
Jillian Tamaki,779
Rudyard Kipling,780
Avi,781
Shashi Deshpande,782
Lian Dolan,783
Bryan Peterson,784
Mark Twain,785
T. J. Stiles,786
Rohan O'Grady,787
Nancy Mitford,788
Theodore Dreiser,789
Richard Lingeman,790
Margaret E. Mitchell,791
Simone Elkeles,792
Jonah Winter,793
Suzanne C. O'Connell Smeltzer,794
Brenda G. Bare,795
Janice L. Hinkle,796
Kerry H. Cheever,797
William H. Patterson,798
Ram Dass,799
Diane Wiessinger,800
Diana Lynn West,801
Teresa Pitman,802
Saki,803
H. H. Munro,804
Clive Staples Lewis,805
Lenore Look,806
Jon J. Muth,807
Chris Wickham,808
D. A. Carson,809
Katsuhiko Ogata,810
Paul Bloom,811
Lee Strobel,812
Shauna Niequist,813
Phil Bildner,814
Patrick Carman,815
Eve Ensler,816
Doreen Virtue,817
Allan Zola Kronzek,818
Elizabeth Kronzek,819
Sandra Brown,820
Peter Straub,821
Robin Robertson,822
Colin Thompson,823
Shawn Levy,824
Tim Winton,825
Chris Riddell,826
Paul Stewart,827
Nikki Turner,828
John Christopher Wells,829
Max Ciampoli,830
Linda Ciampoli,831
Dany Laferrière,832
Deborah Ellis,833
Susan Meddaugh,834
Robert L. Plummer,835
Harm J. De Blij,836
Mark Fisher,837
Andreas J. Köstenberger,838
David W. Jones,839
Lennard Zinn,840
Todd Telander,841
Ari Berk,842
Kristen McDermott,843
Ian Andrew,844
Harold Robbins,845
Lauren Chattman,846
Ann Tompert,847
L. Divine,848
John H. Taylor,849
Becky Sue Epstein,850
Garth Nix,851
Joe McGinniss,852
Ralph David Abernathy,853
Dylan Thomas,854
Paul Muldoon,855
Robert Jackall,856
Janice Hudson,857
Jon Nunan,858
Louis L'Amour,859
George R. Knight,860
Martin Sternstein,861
Laura Claridge,862
Kevin Flynn,863
Rebecca Lavoie,864
Annie Spiegelman,865
Victor Hugo,866
Dick Weissman,867
David Adams Leeming,868
William Bernhardt,869
Hershel Shanks,870
Sally Holloway,871
Lynne Reid Banks,872
Emily Freeman,873
Jane Greenoff,874
Steven J. Burton,875
Melvin Aron Eisenberg,876
Rick Warren,877
Paul J. Deitel,878
Harvey M. Deitel,879
Sidonie Smith,880
Julia Watson,881
Soledad Bravi,882
Judy Blume,883
Jim Carrington,884
Tom Hoover,885
Max Evans,886
Don Patterson,887
John Waggoner,888
Grady Klein,889
Yoram Bauman,890
John Carey,891
Stephen Brockmann,892
David Morrell,893
Siddharth Kara,894
Jackie Maloy,895
Andrew Wilson,896
Martin Cohen,897
Andrew McDermott,898
Joseph Dabney,899
Lawrence L. Hewitt,900
Arthur W. Bergeron,901
Gary D. Joiner,902
Sue Fox,903
Leslie Jermyn,904
Winnie Wong,905
Rodger Kamenetz,906
L. B. Taylor,907
Linda Booth Sweeney,908
Dennis Meadows,909
Alan Hultberg,910
Craig A. Blaising,911
Douglas J. Moo,912
Carter Lindberg,913
Beverly Patt,914
John Lennard,915
Saint Aelred (of Rievaulx),916
Fiona Reid,917
Patrick O'Brien,918
Nima,919
Michael J. Vlach,920
William M. Goble,921
Bonnie Barnett,922
Debby McMullen,923
Dave Lowry,924
Martin Edge,925
Warren W. Wiersbe,926
Fyodor Dostoyevsky,927
Henry Carlisle,928
Michael Brassard,929
Diane Ritter,930
GOAL/QPC.,931
Rudolf Leopold,932
Adin Steinsaltz,933
Earl Smith,934
Alan Edwards,935
Sophie Kinsella,936
